Year,Current Course,Technical Skill,Programming Languages,Rating(technical and programming),Projects,Career Interest,Challenges,Support-required,Student-Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,Soft Skills,Rating(soft skills),Score,Recommended Job
2nd,M.Sc Data Science,NLP,MATLAB Python C,3,No,Data Scientist,Team collaboration,Internships,10,17,18,18,11,15,12,14,Strategic Thinking Analytical Skills,5,131,AI Engineer
4th,B.Tech IT,NLP,Python Java C++,3,Yes,AI Engineer,Lack of resources,Online resources,19,16,12,10,16,8,19,19,Leadership Creativity Critical-Thinking,4,133,AI Engineer
2nd,MCA,Cloud Infrastructure,C# .NET SQL,2,No,Business Analyst,Lack of resources,Mentorship programs,13,7,11,19,12,19,10,6,Communication Adaptability Problem-Solving,3,107,Software Engineer
2nd,B.Tech CSE,Data Engineering,Julia Python R,5,No,Cybersecurity Analyst,Presentation skills,Workshops,18,18,14,15,13,19,18,20,Decision-Making Flexibility Innovation,4,153,Cloud Architect
3rd,B.Sc Computer Science,Network Security,Java Kotlin Swift,3,Yes,AI Engineer,Team collaboration,Mentorship programs,10,14,15,20,14,17,11,9,Time-Management Resilience Negotiation,2,120,Cybersecurity Analyst
1st,B.Tech IT,Cloud Security,Python Java C++,4,No,Business Analyst,Team collaboration,Online resources,20,7,18,13,13,17,19,19,Decision-Making Flexibility Innovation,2,138,Data Scientist
4th,M.Sc Data Science,AI Fundamentals,JavaScript TypeScript Python,4,No,Cloud Architect,Lack of resources,Workshops,12,9,9,17,8,13,19,16,Emotional Intelligence Active Listening,4,119,Cybersecurity Analyst
2nd,MBA,Computer Vision,Java Kotlin Swift,5,No,AI Engineer,Procrastination,Mentorship programs,16,8,12,20,20,9,15,18,Emotional Intelligence Active Listening,5,138,Data Scientist
2nd,B.Tech IT,Business Intelligence,MATLAB Python C,4,No,Cybersecurity Analyst,Procrastination,Mentorship programs,14,7,12,13,8,15,18,15,Emotional Intelligence Active Listening,1,112,Software Engineer
1st,B.Sc Computer Science,Cloud Security,Python Go Rust,2,Yes,Cloud Architect,Time management,Peer groups,17,9,13,16,14,20,17,6,Decision-Making Flexibility Innovation,4,124,Cybersecurity Analyst
2nd,B.Tech IT,Data Visualization,Julia Python R,5,No,Cloud Architect,Lack of resources,Peer groups,11,15,7,15,20,19,17,19,Presentation Skills Public Speaking,2,137,Cloud Architect
1st,MBA,DevOps,C# .NET SQL,1,No,AI Engineer,Interview anxiety,Workshops,20,13,16,15,19,19,16,14,Emotional Intelligence Active Listening,3,140,Cloud Architect
3rd,M.Sc Data Science,Data Visualization,MATLAB Python C,1,Yes,AI Engineer,Team collaboration,Internships,13,7,10,18,15,9,19,10,Communication Adaptability Problem-Solving,5,113,Cybersecurity Analyst
2nd,B.Sc Computer Science,Data Visualization,Java Kotlin Swift,4,No,Business Analyst,Lack of resources,Peer groups,14,9,14,14,11,9,12,16,Decision-Making Flexibility Innovation,2,111,Software Engineer
4th,B.Tech CSE,Business Intelligence,JavaScript TypeScript Python,4,Yes,Cybersecurity Analyst,Presentation skills,Workshops,14,9,9,10,10,13,19,18,Communication Adaptability Problem-Solving,3,116,Cybersecurity Analyst
3rd,M.Sc Data Science,Cloud Security,Java Kotlin Swift,3,No,Business Analyst,Time management,Workshops,18,7,12,15,20,11,13,16,Time-Management Resilience Negotiation,4,126,Cloud Architect
1st,B.Sc Computer Science,NLP,R SAS Python,5,Yes,Business Analyst,Procrastination,Mentorship programs,9,17,19,14,11,20,17,9,Decision-Making Flexibility Innovation,4,134,AI Engineer
4th,B.Tech IT,Mobile App Development,Scala Java Python,4,Yes,Cybersecurity Analyst,Time management,Mentorship programs,14,10,9,10,13,11,11,19,Collaboration Empathy Teamwork,2,109,Software Engineer
3rd,B.Tech IT,Full Stack Development,C# .NET SQL,1,No,AI Engineer,Procrastination,Workshops,12,15,7,12,18,9,16,17,Emotional Intelligence Active Listening,1,110,Cybersecurity Analyst
4th,B.Tech IT,DevOps,Java Kotlin Swift,1,No,Data Scientist,Lack of resources,Internships,9,13,11,18,20,20,20,18,Decision-Making Flexibility Innovation,5,141,AI Engineer
1st,MCA,Mobile App Development,Java Kotlin Swift,4,Yes,Software Engineer,Lack of resources,Mentorship programs,9,16,20,20,15,12,16,12,Emotional Intelligence Active Listening,3,134,Cloud Architect
1st,B.Sc Computer Science,Embedded Systems,R SAS Python,4,Yes,Software Engineer,Procrastination,Workshops,9,14,11,11,11,12,18,10,Emotional Intelligence Active Listening,4,112,Software Engineer
2nd,B.Tech IT,IoT Applications,C# .NET SQL,1,No,Cybersecurity Analyst,Procrastination,Peer groups,15,14,11,20,14,18,18,14,Leadership Creativity Critical-Thinking,2,130,Data Scientist
1st,B.Tech IT,DevOps,JavaScript TypeScript Python,5,Yes,Cloud Architect,Procrastination,Internships,12,9,11,18,14,14,18,17,Communication Adaptability Problem-Solving,2,127,AI Engineer
1st,B.Tech CSE,Deep Learning,Scala Java Python,1,No,Data Scientist,Lack of resources,Workshops,9,19,15,14,12,18,14,6,Presentation Skills Public Speaking,1,111,Cybersecurity Analyst
2nd,M.Sc Data Science,Business Intelligence,Python R SQL,1,Yes,Cybersecurity Analyst,Lack of resources,Mentorship programs,11,10,7,14,20,13,14,5,Decision-Making Flexibility Innovation,5,106,Cybersecurity Analyst
1st,B.Sc Computer Science,Deep Learning,PHP JavaScript MySQL,1,Yes,Cloud Architect,Lack of resources,Internships,11,9,8,14,16,13,16,17,Presentation Skills Public Speaking,5,116,Software Engineer
2nd,M.Sc Data Science,Business Intelligence,Julia Python R,5,No,AI Engineer,Lack of resources,Internships,10,10,19,12,16,10,15,6,Time-Management Resilience Negotiation,5,118,Software Engineer
2nd,B.Tech IT,AI Fundamentals,C# .NET SQL,5,No,Cybersecurity Analyst,Time management,Online resources,11,11,18,11,20,19,13,16,Communication Adaptability Problem-Solving,5,139,Cloud Architect
1st,MBA,Blockchain Development,Python Go Rust,1,No,Cloud Architect,Lack of resources,Workshops,20,9,6,14,16,13,12,12,Time-Management Resilience Negotiation,4,112,Cybersecurity Analyst
2nd,B.Tech CSE,Data Engineering,PHP JavaScript MySQL,5,No,Cloud Architect,Interview anxiety,Peer groups,8,6,17,16,19,20,17,10,Decision-Making Flexibility Innovation,2,127,Cloud Architect
4th,M.Sc Data Science,Blockchain Development,MATLAB Python C,4,Yes,Data Scientist,Time management,Internships,15,8,15,12,8,14,10,8,Emotional Intelligence Active Listening,3,104,Business Analyst
1st,MCA,Full Stack Development,R SAS Python,5,Yes,Cloud Architect,Presentation skills,Online resources,16,9,5,20,11,10,13,7,Presentation Skills Public Speaking,3,107,Cybersecurity Analyst
3rd,MBA,DevOps,Python Go Rust,3,Yes,Business Analyst,Lack of resources,Online resources,13,15,14,15,18,16,14,10,Emotional Intelligence Active Listening,5,131,Data Scientist
1st,B.Tech IT,AI Fundamentals,Python R SQL,1,No,Software Engineer,Team collaboration,Peer groups,17,7,18,12,15,20,14,13,Conflict Resolution Team Leadership,3,124,Cybersecurity Analyst
1st,B.Tech IT,Cloud Infrastructure,C# .NET SQL,5,No,Data Scientist,Time management,Online resources,11,16,10,13,8,13,14,9,Collaboration Empathy Teamwork,3,110,Cybersecurity Analyst
2nd,MBA,Network Security,Python Java C++,2,Yes,Business Analyst,Team collaboration,Peer groups,20,11,14,16,16,10,11,11,Emotional Intelligence Active Listening,5,123,Cybersecurity Analyst
3rd,MBA,Data Engineering,Java Kotlin Swift,3,Yes,Data Scientist,Procrastination,Internships,14,18,17,13,14,16,12,9,Conflict Resolution Team Leadership,2,123,Software Engineer
1st,M.Sc Data Science,Full Stack Development,MATLAB Python C,5,No,Cybersecurity Analyst,Interview anxiety,Online resources,9,5,17,19,17,12,13,7,Presentation Skills Public Speaking,3,115,Cybersecurity Analyst
3rd,M.Sc Data Science,Deep Learning,Python R SQL,2,No,Business Analyst,Procrastination,Workshops,12,14,8,16,19,17,11,16,Decision-Making Flexibility Innovation,5,127,Data Scientist
3rd,B.Sc Computer Science,Penetration Testing,Java Kotlin Swift,1,No,Software Engineer,Lack of resources,Peer groups,14,10,19,15,14,15,18,13,Communication Adaptability Problem-Solving,3,126,Data Scientist
3rd,M.Sc Data Science,Computer Vision,PHP JavaScript MySQL,3,No,Software Engineer,Procrastination,Internships,15,6,14,20,10,10,13,18,Decision-Making Flexibility Innovation,5,122,Cybersecurity Analyst
2nd,MBA,Deep Learning,R SAS Python,4,Yes,Business Analyst,Presentation skills,Workshops,19,16,10,15,17,11,17,18,Communication Adaptability Problem-Solving,2,135,Cloud Architect
3rd,MCA,Embedded Systems,Python Go Rust,5,No,AI Engineer,Procrastination,Online resources,11,17,8,11,8,14,17,6,Strategic Thinking Analytical Skills,5,112,Cybersecurity Analyst
2nd,M.Sc Data Science,Data Visualization,Scala Java Python,5,Yes,AI Engineer,Team collaboration,Internships,12,16,15,19,12,9,13,19,Emotional Intelligence Active Listening,2,129,AI Engineer
4th,M.Sc Data Science,Embedded Systems,Python Java C++,4,Yes,Cybersecurity Analyst,Procrastination,Internships,8,12,18,18,19,11,19,19,Time-Management Resilience Negotiation,4,140,Data Scientist
3rd,M.Sc Data Science,Blockchain Development,Java Kotlin Swift,1,Yes,Software Engineer,Team collaboration,Workshops,17,11,16,10,20,16,10,11,Presentation Skills Public Speaking,4,121,Cybersecurity Analyst
2nd,MBA,DevOps,Python Java C++,5,No,Cloud Architect,Lack of resources,Internships,12,12,19,11,9,20,19,8,Conflict Resolution Team Leadership,2,124,Software Engineer
2nd,B.Tech IT,Embedded Systems,R SAS Python,3,No,Software Engineer,Procrastination,Peer groups,11,17,16,13,14,14,16,5,Strategic Thinking Analytical Skills,5,122,Cybersecurity Analyst
1st,MBA,Blockchain Development,MATLAB Python C,4,Yes,Cloud Architect,Interview anxiety,Internships,9,9,12,18,17,17,16,8,Conflict Resolution Team Leadership,2,118,Software Engineer
2nd,MCA,Mobile App Development,Julia Python R,4,No,Data Scientist,Team collaboration,Online resources,8,19,7,20,12,14,18,8,Strategic Thinking Analytical Skills,2,118,Cybersecurity Analyst
3rd,B.Tech CSE,Data Visualization,MATLAB Python C,1,Yes,Cybersecurity Analyst,Team collaboration,Online resources,9,13,12,18,19,16,16,9,Decision-Making Flexibility Innovation,3,120,Software Engineer
4th,M.Sc Data Science,IoT Applications,MATLAB Python C,4,Yes,AI Engineer,Procrastination,Peer groups,15,5,17,16,19,12,13,20,Communication Adaptability Problem-Solving,4,133,Cloud Architect
3rd,MBA,Data Engineering,Python R SQL,3,No,Software Engineer,Procrastination,Peer groups,18,10,14,17,17,8,19,17,Leadership Creativity Critical-Thinking,5,136,Cloud Architect
2nd,MBA,Data Engineering,R SAS Python,3,No,Business Analyst,Presentation skills,Internships,11,12,5,14,16,15,19,20,Time-Management Resilience Negotiation,4,126,Data Scientist
2nd,MBA,Blockchain Development,JavaScript TypeScript Python,2,No,AI Engineer,Time management,Peer groups,13,12,14,11,19,12,11,7,Leadership Creativity Critical-Thinking,4,111,Software Engineer
4th,B.Sc Computer Science,Business Intelligence,Java Kotlin Swift,1,No,Data Scientist,Lack of resources,Peer groups,20,14,9,16,11,10,10,9,Presentation Skills Public Speaking,1,103,Business Analyst
2nd,B.Tech IT,IoT Applications,R SAS Python,2,Yes,Data Scientist,Lack of resources,Workshops,18,12,8,11,11,13,19,18,Presentation Skills Public Speaking,2,118,Cybersecurity Analyst
1st,MCA,Data Engineering,Julia Python R,4,No,Business Analyst,Team collaboration,Workshops,17,7,19,16,19,20,11,11,Conflict Resolution Team Leadership,3,134,AI Engineer
3rd,MBA,Mobile App Development,Julia Python R,1,No,AI Engineer,Procrastination,Workshops,12,9,7,12,17,9,13,19,Decision-Making Flexibility Innovation,2,104,Business Analyst
2nd,B.Tech IT,Penetration Testing,Scala Java Python,1,No,Business Analyst,Procrastination,Online resources,20,19,11,13,9,16,13,19,Leadership Creativity Critical-Thinking,3,128,Data Scientist
2nd,MBA,IoT Applications,C# .NET SQL,1,Yes,Cybersecurity Analyst,Lack of resources,Online resources,17,15,6,10,12,19,19,9,Conflict Resolution Team Leadership,4,117,Software Engineer
1st,B.Sc Computer Science,Data Visualization,Python R SQL,1,Yes,Data Scientist,Team collaboration,Peer groups,13,20,18,19,9,20,15,5,Time-Management Resilience Negotiation,4,129,AI Engineer
4th,B.Sc Computer Science,IoT Applications,Python R SQL,4,No,Data Scientist,Interview anxiety,Mentorship programs,12,20,6,15,12,11,16,15,Conflict Resolution Team Leadership,5,125,Software Engineer
2nd,MCA,Computer Vision,Java Kotlin Swift,5,Yes,Cloud Architect,Procrastination,Peer groups,20,11,16,17,18,20,16,6,Communication Adaptability Problem-Solving,1,136,Cloud Architect
2nd,MCA,Computer Vision,PHP JavaScript MySQL,5,No,Cybersecurity Analyst,Team collaboration,Mentorship programs,8,7,15,20,10,14,12,5,Communication Adaptability Problem-Solving,1,103,Business Analyst
3rd,MBA,Full Stack Development,Python Java C++,3,No,AI Engineer,Interview anxiety,Workshops,13,15,17,15,11,8,11,9,Leadership Creativity Critical-Thinking,1,107,Cybersecurity Analyst
4th,B.Sc Computer Science,DevOps,Python Go Rust,5,No,Cloud Architect,Procrastination,Online resources,13,8,19,16,16,11,10,5,Conflict Resolution Team Leadership,5,118,Cybersecurity Analyst
3rd,MBA,Cloud Infrastructure,R SAS Python,2,No,Cloud Architect,Time management,Mentorship programs,17,15,20,11,11,18,14,15,Conflict Resolution Team Leadership,5,135,AI Engineer
3rd,MCA,Cloud Infrastructure,MATLAB Python C,3,No,Software Engineer,Interview anxiety,Peer groups,9,5,16,19,19,8,16,16,Presentation Skills Public Speaking,3,120,Software Engineer
4th,M.Sc Data Science,Full Stack Development,R SAS Python,4,Yes,Software Engineer,Time management,Mentorship programs,9,7,13,13,17,10,13,20,Strategic Thinking Analytical Skills,1,112,Cybersecurity Analyst
2nd,B.Sc Computer Science,Data Engineering,R SAS Python,2,No,AI Engineer,Presentation skills,Internships,16,10,15,19,12,13,10,19,Decision-Making Flexibility Innovation,1,120,Software Engineer
1st,B.Tech CSE,Computer Vision,Python Go Rust,5,Yes,AI Engineer,Time management,Online resources,9,11,6,13,9,14,17,8,Presentation Skills Public Speaking,1,99,Business Analyst
4th,B.Tech IT,IoT Applications,Scala Java Python,4,No,AI Engineer,Procrastination,Peer groups,8,13,17,19,11,20,10,19,Time-Management Resilience Negotiation,4,133,AI Engineer
4th,MBA,Full Stack Development,Python Java C++,4,No,AI Engineer,Team collaboration,Internships,16,18,6,17,19,12,19,19,Conflict Resolution Team Leadership,4,142,Cloud Architect
4th,M.Sc Data Science,Data Visualization,Python R SQL,5,No,Cybersecurity Analyst,Presentation skills,Workshops,16,18,17,20,14,20,10,15,Emotional Intelligence Active Listening,1,142,Cloud Architect
3rd,MCA,AI Fundamentals,PHP JavaScript MySQL,1,No,Software Engineer,Presentation skills,Peer groups,14,10,11,11,13,18,18,12,Emotional Intelligence Active Listening,2,113,Cybersecurity Analyst
4th,MBA,Data Visualization,C# .NET SQL,1,Yes,Software Engineer,Lack of resources,Workshops,14,18,18,16,13,17,18,7,Collaboration Empathy Teamwork,4,131,AI Engineer
4th,B.Tech IT,IoT Applications,Python Go Rust,4,Yes,Software Engineer,Interview anxiety,Mentorship programs,8,10,11,16,9,11,18,15,Time-Management Resilience Negotiation,2,110,Cybersecurity Analyst
3rd,B.Tech IT,Mobile App Development,MATLAB Python C,3,No,Cybersecurity Analyst,Time management,Mentorship programs,10,16,15,18,20,20,10,9,Communication Adaptability Problem-Solving,1,126,AI Engineer
1st,MCA,IoT Applications,JavaScript TypeScript Python,1,No,Cloud Architect,Presentation skills,Internships,17,13,18,16,20,20,11,19,Strategic Thinking Analytical Skills,5,146,AI Engineer
2nd,B.Sc Computer Science,Deep Learning,MATLAB Python C,2,Yes,Cloud Architect,Presentation skills,Workshops,8,11,7,11,18,19,20,19,Time-Management Resilience Negotiation,3,123,Software Engineer
3rd,B.Tech CSE,AI Fundamentals,Python R SQL,5,Yes,Data Scientist,Presentation skills,Peer groups,16,15,9,11,10,10,10,5,Strategic Thinking Analytical Skills,5,106,Cybersecurity Analyst
4th,B.Tech IT,Business Intelligence,Scala Java Python,3,No,AI Engineer,Team collaboration,Internships,9,13,20,12,19,12,17,13,Communication Adaptability Problem-Solving,2,125,Software Engineer
4th,MCA,Data Engineering,PHP JavaScript MySQL,1,Yes,Business Analyst,Presentation skills,Mentorship programs,18,13,9,17,11,14,15,13,Conflict Resolution Team Leadership,1,114,Software Engineer
4th,B.Sc Computer Science,Business Intelligence,Python R SQL,3,No,AI Engineer,Time management,Internships,14,10,11,15,8,12,12,10,Emotional Intelligence Active Listening,2,102,Business Analyst
4th,B.Sc Computer Science,Penetration Testing,Python R SQL,5,Yes,AI Engineer,Interview anxiety,Workshops,13,6,6,20,18,10,17,9,Time-Management Resilience Negotiation,1,111,Software Engineer
3rd,B.Tech IT,DevOps,Java Kotlin Swift,4,No,AI Engineer,Team collaboration,Peer groups,13,5,7,19,10,19,10,11,Communication Adaptability Problem-Solving,5,112,Cybersecurity Analyst
2nd,M.Sc Data Science,AI Fundamentals,R SAS Python,1,Yes,Business Analyst,Team collaboration,Workshops,13,14,5,13,17,11,16,15,Strategic Thinking Analytical Skills,5,116,Cybersecurity Analyst
4th,MBA,Network Security,MATLAB Python C,2,No,AI Engineer,Lack of resources,Online resources,18,19,14,14,16,14,15,15,Leadership Creativity Critical-Thinking,4,137,AI Engineer
2nd,B.Sc Computer Science,Deep Learning,Python R SQL,4,Yes,Cloud Architect,Procrastination,Online resources,14,18,6,15,17,8,15,7,Emotional Intelligence Active Listening,1,110,Cybersecurity Analyst
1st,MCA,Blockchain Development,JavaScript TypeScript Python,1,No,AI Engineer,Procrastination,Peer groups,13,5,20,19,20,12,10,6,Time-Management Resilience Negotiation,1,109,Software Engineer
3rd,B.Tech IT,Computer Vision,Python R SQL,4,Yes,AI Engineer,Procrastination,Workshops,15,6,11,18,18,10,20,11,Strategic Thinking Analytical Skills,5,127,AI Engineer
4th,M.Sc Data Science,Full Stack Development,C# .NET SQL,3,Yes,Cloud Architect,Presentation skills,Workshops,16,14,18,11,10,16,19,16,Communication Adaptability Problem-Solving,5,136,Data Scientist
4th,B.Tech IT,DevOps,C# .NET SQL,3,Yes,AI Engineer,Procrastination,Internships,13,19,13,13,12,15,10,10,Communication Adaptability Problem-Solving,4,119,Cybersecurity Analyst
3rd,B.Tech CSE,AI Fundamentals,JavaScript TypeScript Python,4,No,Cybersecurity Analyst,Team collaboration,Workshops,12,10,18,13,10,11,19,9,Presentation Skills Public Speaking,1,112,Software Engineer
2nd,B.Tech CSE,Data Visualization,MATLAB Python C,2,Yes,Data Scientist,Procrastination,Online resources,16,19,18,20,16,12,17,5,Collaboration Empathy Teamwork,2,131,Data Scientist
